Category,Periodical
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Buchdrucker-Zeitung (fortnightly). German. Established 1873, 4 pages, $1, circulation 1,100. International Typographical Union, 653 Bankers' Trust Building, Indianapolis, Ind. Hugo Miller, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Carpenter, The (monthly). Established 1881, $1, circulation 375,000. United Brotherhood of Carpenters and Joiners, Carpenters' Building, 222 East Michigan Street, In dianapolis, Ind. Frank Duffy, ed. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Cigarmakers' Official Journal (monthly). Established 1864, 16- 50 pages, $1, circulation 19,000. Cigarmakers' Interna tional Union of America, Room 620, 508> South Dear born Street, Chicago, Ill. George W. Perkins, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Commercial Telegraphers' Journal, The (monthly). Established 1902, 32-64 pages, $2. The Commercial Telegraphers' Union of America, 113 South Ashland Boulevard, Chicago, Ill. International Labor News. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Coopers' International Journal, The (monthly). Established 1890, 8 pages, $1.25. Coopers' International Union, Meri- weather Building, Kansas City, Kas. Forrest M. Krepps, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Elevator Constructor, The (monthly). Established 1902, 40 pages, $1, circulation 12,000. International Union of Elevator Constructors, 1208 Chestnut Street, Philadelphia, Pa. Joseph F. Murphy, ed., 391 Fulton Street, B'klyn, N. Y."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Equity Magazine, The (monthly). Established 1915, 44 pages, $1, circulation 12,000. The Actors' Equity Association of America, 45 West 47th Street, New York, N. Y. Grant Stewart, ed., Alfred Harding, assoc. ed. Uses cuts."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Federal Employe (monthly). Established 1916, 32 pages, $1, cir culation 35,000. National Federation of Federal Em ployes, 10 B Street, S.W., Washington, D. C. Luther C. Steward, William Ullman, eds."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Firemen and Oilers Journal (monthly). Established 1899, 20-36 pages, $1, circulation 25-40,000. International Brother hood of Firemen and Oilers, 3611 North 24th Street, Omaha, Nebr. C. L. Shamp, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Fur Worker, The (fortnightly). Yiddish and English. Established 1916, 8-12 pages, $.50, circulation 12,000. International Fur Workers' Union of United States and Canada, 9 Jackson Avenue, Long Island City, N. Y. Morris Kaufman, A. Rosebury, eds. Federated Press, Inter national Labor News. Labor and Socialist."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Garment Worker, The (weekly). Established 1901, $1. United Garment Workers, 117 Bible House, Astor Place, New York, N. Y."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Gerechtigkeit (weekly). Jewish. Fridays. Established 1918, 16 pages, $1.50, circulation 42,050. International Ladies' Garment Workers' Union 3 West 16th Street, New York, N. Y. S. Yanofsky, Max D. Danish, eds."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Giustizia (weekly). Italian. Fridays. Established 1918, 12 pages, $1, circulation 17,700. International Ladies' Gar ment Workers' Union, 3 West 16th Street, New York, N. Y. R. Rende, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"General Bulletin (weekly). International Alliance of Theatrical Stage Employees, 110 West 40th Street, New York, N. Y."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Granite Cutters Journal (monthly). Established 1877, 32 pages, $1.20, circulation 10,000. Granite Cutters International Association of America, 25 School Street, Quincy, Mass. Sam Squibb, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Headgear Worker, The (fortnightly). English and Yiddish. Fridays. Established 1916, 4-8 pages, $.50, circulation 15,000. Cloth Hat, Cap, and Millinery Workers' International Union, 621 Broadway, New York, N. Y. J. M. Budish, ed. International Labor News, Federated Press."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"International Bookbinder, The (monthly). Established 1898, 40 pages, $1, circulation 14,000. International Brotherhood of Bookbinders, 9th Street and Massachusetts Avenue, Washington, D. C. Felix J. Belair, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"International Fire Fighter (monthly). Established 1918, 32-48 pages, $2, circulation 4,500. International Association of Fire Fighters, 105 American Federation of Labor Building, Washington, D. C. Fred W. Baer, ed. In ternational Labor News, Luce's Press Clipping Bureau. Fire prevention and fire fighting included."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"International Horseshoers' Monthly Magazine (monthly). Es tablished 1899, $.50, circulation 2,200. International Union of Journeymen Horseshoers, 605 Second National Bank Building, Cincinnati, Ohio. Hubert Marshall, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"International Molders' Journal (monthly). Established 1864, 68- 112 pages, $.50, circulation 30-35,000. International Molders' Union of North America, 530 Walnut Street, Cincinnati, Ohio. John P. Frey, ed. International Labor News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"International Musician (monthly). Established 1903, 24-32 pages, $.20, circulation 125,000. American Federation of Mu sicians, 239-241 Halsey Street, Newark, N. J. William J. Kerngood ed. American Federation of Labor Weekly News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"International Steam Engineer (monthly). Established 1889, 80 pages, $1, circulation 41,348. International Union of Steam and Operating Engineers, 6334-36 Yale Avenue, Chicago, Ill. Dave Evans, ed. Circulates among chief and operating engineers in power plants exclusively."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"International Stereotypers' and Electrotypers' Union Journal (monthly). Established 1906, 56 and more pages, $.60, circulation 6,500. International Stereotypers' and Electrotpers' Union of North America, 446 South Ogden Street, Denver, Colo. William Eben McCormick, ed. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"International Woodcarver, The (monthly). Established 1899, 4 pages, circulation 1,500. International Woodcarvers' Association of North America, 8605 ��_��__��_��__��_��__ 85th Street, Jamaica, New York. Frank Detlef, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Jewelry Workers' Monthly Bulletin (monthly). International Jewelry Workers' Union, Room 714, 1674 Broadway, New York, N. Y."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Journal of Electrical Workers and Operators, The (monthly). Established 1891, 64 pages, $.50, circulation 62,000. In ternational Brotherhood of Electrical Workers, Ma chinists Building, Waashington, D. C. G. M. Bugnia- zet, ed. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Journal of the Switchmen's Union of North America, The (monthly). Established 1898, 32-56 pages, $1.25, circulation 10,000. Switchmen's Union of North America, 39 West North Stret, Buffalo, N. Y. W. H. Thompson, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Journeyman Barber, The (monthly). Established 1905, $.60. Journeymen Barbers' International Union, 222 East Michigan Street, Indianapolis, Ind. Jacob Fischer, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Justice (weekly). Fridays. Established 1918, 12 pages, $1.50, circulation 29,300. International Ladies' Garment Workers' Union, 3 West 16th Street, New York, N. Y. S. Yanofsky, Max D. Danish, eds."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Lather, The (monthly). Established 1900, 36 pages, $.60, circula tion 15,000. Wood, Wire and Metal Lathers' Interna tional Union, Lathers' Building, West 26th & Detroit, Cleveland, Ohio. A. D. Yoder, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Leather Workers' Journal (monthly). Established 1898, 32 pages, $1, circulation 2,000. United Leather Workers' Inter national Union, 610 Walsix Building, Kansas City, Mo. John J. Pfeiffer, W. E. Bryan, eds. American Federa tion of Labor Weekly News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Life and Labor Bulletin (monthly). Established 1922, 4 pages, $1, circulation 2,500. National Women's Trade Union League of America, 311 South Ashland Boulevard, Chicago, Ill. Elisabeth Christman, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Lithographers' Journal (monthly). Established 1915, 44 pages, $1.50, circulation 6,600. Amalgamated Lithographers of America, 205 West 14th Street, New York, N. Y. C. Halbmeier, ed. Labor Bureau, Inc."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Longshoreman, The (monthly). International Longshoremen's Association, 702 Brisbane Building, Buffalo, N. Y."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Machinists Monthly Journal (monthly). Established 1889, 48 pages, $1, circulation 85,000. International Association of Machinists, 204 Machinists Building, Washington, D. C. Fred Hewitt, ed. International Labor News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Miners' Magazine, The (monthly). Established 1900, $.50. In ternational Union of Mine, Mill, and Smelter Workers, 500 Mercantile Building, Denver, Colo. Charles H. Moyer, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Mixer and Server, The (monthly). Established 1891, 64 pages, $1.50, circulation 55,000. Hotel & Restaurant Em ployees' International Alliance and Bartenders' Inter national League of America, 528-30 Walnut Street, Cincinnati, Ohio. Jere 'L. Sullivan, ed. International Labor News, American Federation of Labor Weekly News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Motorman and Conductor, The (monthly). Established 1895, 40 pages, $.75, circulation 112,000. Amalgamated Asso ciation of Street and Electric Railway Employees, 260 East High Street, Detroit, Mich. R. L. Reeves, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Official Journal (quarterly). International Association of Heat and Frost Insulators and Asbestos Workers, 803 United Home Building, St. Louis, Mo."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Official Magazine (monthly). Established 1902, 16 pages, $2, circulation 50,000. International Brotherhood of Team sters, Chauffeurs, Stablemen, and Helpers, 222 East Michigan Street, Indianapolis, Ind. Daniel J. Tobin, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Painter and Decorator, The (monthly). Established 1887, $1, circulation 100,000. Brotherhood of Painters, Deco rators, and Paperhangers, Lafayette, Ind. Charles J. Lammert, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Paper Makers Journal (monthly). Established 1902, 16 and more pages, $1, circulation 7,500. International Brotherhood of Paper Makers, 25 South Hawk Street, Albany, N. Y. Matthew J. Burns, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Pattern Makers Journal (monthly). Established 1889, 16-32 pages, $.50, 12-15,000 circulation. Pattern Makers' League of iNorth America, 2nd National Bank Building, Cincinnati, Ohio. James Wilson, ed. American Federation of Labor Weekly News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Paving Cutters' Journal (monthly). Established 1901, 4 pages, circulation 2,700. Paving Cutters' Union of the United States and Canada, Rockport, Mass. Carl Bergstrom, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Plasterer, The (monthly). Operative Plasterers' International Association, 401 Castell Building, Middletown, Ohio."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Plate Printer, The (fortnightly). Plate Printers' and Die Stampers' Union, 1630 West Louden Street, Philadelphia, Pa."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"'Plumbers, Gas and Steam Fitters' Journal (monthly). Established 1885, $1. United Association of Plumbers and Steam Fitters, 1138 North Dearborn Street, Chicago, 111."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Postal Record (monthly). Established 1888, 24 and more pages, $2, circulation 46,000. National Association of Letter Carriers, American Federation o_f Labor Building, Washington, D. C. Edward J. Gainor, M. T. Finnan, eds."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Potters' Herald, The (weekly). Thursdays. Established 1892, 6 pages, $2, circulation 7,500. National Brotherhood of Operative Potters, West Sixth Street, East Liverpool, Ohio. Will T. Blake, ed. American Federation of Labor Weekly News. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Quarry Workers' Journal (monthly). Established 1904, 8 pages, $.75, circulation 5,000. Quarry Workers' International Union of North America, Scampini Building, Barre, Vt. Fred W. Suitor, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Railroad Telegrapher, The (monthly). Established 1886, 136 pages, $1, circulation 70,000. The Order of Railroad Telegraphers, 3673 W. Pine Boulevard, St. Louis, Mo. E. J. Manion, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Railway Carmen's Journal (monthly). Established 1895, $1.50. Brotherhood of Railway Carmen, 512 Hall Building, Kansas City, Mo. W. J. Adames, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Railway Clerk, The (monthly). Established 1900, 32-64 pages, $1, circulation 104,875. Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of Railway Clerks Building, 1015 Vine Street, Cincinnati, Ohio. Phil E. Ziegler, ed. International Labor News, Federated Press."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Railway Maintenance of Way Employees' Journal (monthly). Established 1891, 64 pages, $1, circulation 100,000. United Brotherhood of Maintenance of Way Em ployees, 61 Putnam Avenue, Detroit, Mich. F. Finn- son, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Retail Clerks' International Advocate (monthly). Established 1892, $.60. Retail Clerks' International Protective As sociation, Lock Drawer 248, Lafayette, Ind. H. J. Conway, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Railway Post Office, The (monthly). Established 1898, 48 pages, $1, circulation 20,500. Railway Mail Association (Ra'ilway Mail Clerks), 508 American Federation of Labor Build ing, Washington, D. C. Henry W. Strickland, ed. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Seamen's Journal, The (monthly). Established 1887, 32 pages, $1.50. International Seamen's Union of America, 525 Market Street, San Francisco, Calif. Paul Scharren- berg, ed. International Labor News, American Federa tion of Labor Weekly News. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Sheet Metal Workers' Journal (monthly). Established 1895, $1. Sheet Metal Workers' International Association, 642 Transportation Building, Washington, D. C. William L. Sullivan, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Shoe Workers' Journal, The (monthly). Established 1900, 40 pages, circulation 50,000. Boot and Shoe Workers' Union, 246 Summer Street, Boston, Mass. C. ,L. Baine, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Signalmen's Journal (monthly). Established 1920, 32-64 pages, $1, circulation 10,000. Brotherhood of Railway Signal men of America, 4750 North Kimball Avenue, Chicago, Ill. T. A. Austin, ed. Labor Bureau, Committee of 48, Fair Tariff League."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Sleeping Car Conductor, The (monthly). Established 1918, 50 pages, $1, circulation 3,000. Order of Sleeping Car Conductors, 360-1 Union Station, Kansas City, Mo. M. S. Warfield, ed. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Stone Cutters Journal, The (monthly). Established 1853, 16-24 pages, $1, circulation 6,000. Journeymen Stone Cut ters' Association of .North America, P. O. Box 767, Indianapolis, Ind. Joseph Blasey, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Stove Mounters' & Range Workers' Journal (monthly). -Estab lished 1895, 24 pages, $.60, circulation 3,000. Stove Mounters' International Union, 6466 East Jefferson Avenue, Detroit, Mich. Frank Grimshaw, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Tailor, The (fortnightly). Tuesdays. Established 1887, 4 pages, circulation 9,500. Journeymen Tailors' Union of Am erica, 6753 Stony Island Avenue, Chicago, Ill. Thomas Sweeney, ed. International Labor News. Uses mats some times."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Textile Worker, The (monthly). Established 1912, 66 pages, $1. United Textile Workers of America, 603-9 Bible House, New York, N. Y. Thomas F. McMahon, ed. Interna tional Labor News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Tobacco Worker (m). Tobacco Workers' International Union, 50 Our Home Life Insurance Building, Louis ville, Ky."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Typographical Journal, The (monthly). Established 1889, 128- 148 pages, $1, circulation 62,000. International Typo graphical Union, 642 Bankers Trust Building, Indian apolis, Ind. J. W. Hays, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Union Clay Worker (monthly). Established 1918, 40 pages, $1, circulation 10,000. United Brick and Clay Workers' Union, Room 309, 327 South La Salle Street, Chicago, Ill. William Tracy, ed. International Labor News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Union Postal Clerk (monthly). Established 1903, 96 pages, $1, circulation 35,000. National Federation of Post Of fice Clerks, Room 300, American Federation of Labor Building, 901 Massachusetts Avenue, N. W., Washing ton, D. C. Thomas F. Flaherty, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"United Mine Workers' Journal (fortnightly). Established 1891, 24 pages, $1, circulation 300,000. United Mine Workers of America, 1102 Merchants Bank Building, Indianapolis, Ind. Ellis Searles, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Upholsterers' Journal (monthly). Established 1922, 28-60 pages, $1, circulation 7,500. Upholsterers' International Union of North America, 230 East 58th Street, New York, N. Y. William Kohn, ed."
INDEPENDENT TRADE UNIONS,"Advance, The (weekly). Fridays. Established 1917, 12 pages, $2, circulation 50,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Joseph Schlossberg, ed."
INDEPENDENT TRADE UNIONS,"American Marine Engineer, The (monthly). Established 1906, 34 pages, $1.50, circulation 10,000. National Marine Engineers' Beneficial Association, 311 Machinists Build ing, 9th Street and Mt. Vernon Place, Washington, D. C. O. C. Lightner, ed."
INDEPENDENT TRADE UNIONS,"Brotherhood of Locomotive Firemen and Enginemen's Magazine (monthly). Established 1877, 80 pages, $2, circu lation 110,000. Brotherhood of Locomotive Firemen and Enginemen, 2112 East 46th Street, Cleveland, Ohio. John F. McNamee, ed. Federated Press."
INDEPENDENT TRADE UNIONS,"Darbas (fortnightly). Lithuanian. Established 1918, 8 pages, $2, circulation, 6,000. Amalgamated Clothing Workers of America, 31. Union Square, New York, N. Y. ; L. Pruseika, ed."
INDEPENDENT TRADE UNIONS,"Fortschrift (fortnightly). Jewish. Established 1915, 12-16 pages, $2, circulation 35,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y."
INDEPENDENT TRADE UNIONS,"Free Voice of the Amalgamated Food Workers (fortnightly). Established 1920, 8 pages, $1, circulation 10,000. The Amalgamated Food Workers, 98 Bowers Street, Jer sey City, N. J., editorial office, 81 East 10th Street, New York, N. Y. Charles Kiehn, ed. Federated Press, International Press Correspondence. Uses mats."
INDEPENDENT TRADE UNIONS,"Hotel Worker (monthly). Established 1923, 8 pages, circulation 7,000. New York Hotel Workers, branch of the Amal gamated Food Workers, 133 West Slst Street, New York, N. Y."
INDEPENDENT TRADE UNIONS,"International Pocketbook Worker (monthly). Established 1923, 16 pages, circulation 8,000. International Pocketbook Workers' Union, 62 University Place, New York, N. Y. Ossip Walinsky, ed."
INDEPENDENT TRADE UNIONS,"Lavoro, II (fortnightly). Italian. Established 1913, 8 pages, $2, circulation, 30,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Frank Belanca, ed."
INDEPENDENT TRADE UNIONS,"Locomotive Engineers' Journal (monthly). Established 1865, 80 pages, $1.50, circulation 92,000. Brotherhood of Loco motive Engineers, 806 Engineers' Building, Cleveland, Ohio. Albert F. Coyle, ed., John F. Welch, asst. ed. Federated Press, Cooperative News Service."
INDEPENDENT TRADE UNIONS,"Prace (fortnightly). Bohemian. Established 1920, 8 pages, circula tion 4,000. Amalgamated Clothing Workers of Ameri ca, 31 Union Square, New York, N. Y. Anton No- votny, ed."
INDEPENDENT TRADE UNIONS,"Przemyslowa Democracia (fortnightly). Polish. Established 1917, 8 pages, $2, circulation 12,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Stanislawa Kucharska, ed. Federated Press."
INDEPENDENT TRADE UNIONS,"Rabotchy Golos (monthly). Russian. Established 1919, 4 pages, $2, circulation 2,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y."
INDEPENDENT TRADE UNIONS,"Railroad Trainman, The (monthly). Established 1883, 80 pages, $1, circulation 176,000. Brotherhood of Railroad Train men, (printed by Kable Bros. Co., Mount Morris, Ill.) 820 Superior Avenue, West, Cleveland, Ohio. D. L. Cease, ed."
INDEPENDENT TRADE UNIONS,"Railroad Worker, The (monthly). Established 1901, 48 pages, $.60, circulation 20,000. American Federation of Rail road Workers, 315 South Ashland Boulevard, Chicago, Ill. George C. Eckroth, ed. League for Industrial Democracy, Federated Press, etc. Uses mats some times."
INDEPENDENT TRADE UNIONS,"Railway Conductor, The (monthly). Established 1884, 48 pages, $1, circulation 60,000. Order of Railway Conductors, 1st Avenue and 1st Street, Cedar Rapids, Iowa. F. H. Pease, ed."
INDEPENDENT TRADE UNIONS,"Railway Employees' Journal (monthly). Established 1913, $1. Brotherhood of Railroad Employees, 190 North State Street, Chicago, Ill. W. B. Montgomery, ed."
INDEPENDENT TRADE UNIONS,"Railway Expressman, The (monthly)- Established 1919, 64 pages, $1, circulation 18,000. Order of Railway Expressmen, 105 West Monroe Street, Chicago, Ill. E. H. Wilson, ed. Federated Press, Labor Press League,"
