Title,Frequency,Publisher,People,Street Address,lat,lon,Category,ALPDEntry
Jewish Daily Forward,daily,Forward Association,Abraham Cahan,"175 East Broadway, New York, New York",40.8894465,-73.8981876,Socialist,"Jewish Daily Forward (daily). Established 1897, 8-32 pages, $10, circulation 205,000. Forward Association, 175 East Broadway, New York, N. Y. Abraham Cahan. Endorsed by Socialist Party, United Hebrew Trades, Workmen's Circle. Universal News Service. Uses mats. Issues editions in Philadelphia, Pittsburgh, Bal timore, Detroit, Cleveland, St. Louis, and Los Angeles."
Jewish Daily Forward,daily,Forward Association,Abraham Cahan,"175 East Broadway, New York, New York",40.8894465,-73.8981876,Socialist,"Jewish Daily Forward (daily). Established l919, 8 pages, $11, circulation 42,000. Forward Association, 175 East Broadway, New York, N. Y. Abraham Cahan."
Messenger,monthly,The Messenger Publishing Co,"A. Philip Randolph, Chandler Owen","2311 Seventh Avenue, New York, New York",42.7948248,-73.9554192,Socialist,"Messenger, The (monthly). Established 1918, 32-42 pages, $1.75, circulation 5-10,000. The Messenger Publishing Co., 2311 Seventh Avenue, New York, N. Y. A. Philip Randolph, Chandler Owens. Official organ, Friends of Negro Freedom, endorsed by various trade unions. Federated Press."
New Leader,weekly,The New Leader Association,"James Oneal, Edward Levinson","7 East 15th Street, New York, New York",40.7365271,-73.9923661,Socialist,"New Leader, The (weekly). Fridays. Established 1924, 12 pages, $2, circulation 25,000. The New Leader Associ ation, 7 East 15th Street, New York, N. Y. James Oneal, Edward Levinsons. Official organ, Socialist Party. Uses mats."
Yiddisher Arbeiter,weekly,Poale Zion of America,Y. I. Zaar,"133 Second Ave, New York, New York",42.63543183,-73.74020822,Socialist,"Yiddisher Arbeiter, Der (weekly). Established 1923, 16-32 pages, $2.50, 6,000. Poale Zion of America, 133 Second Ave., New York, ,N. Y. I. Zaar. Socialist."
Zukunft,monthly,The Forward Association,Abraham Liessen,"175 East Broadway, New York, New York",40.8894465,-73.8981876,Socialist,"Zukunft, Die (monthly). Established 1899, 66 pages, $1.50. The Forward Association, 175 East Broadway, New York, N. Y. Abraham Liessen."
Darbininkiu Balsas,monthly,Lithuanian Women's Progressive Alliance of America,Helen Yeskevich,"46 Ten Eyck Street, Brooklyn, New York",40.7095597,-73.948996,Communist,"Darbininkiu Balsas (monthly). Established 1916, 24 pages, $1.50, circulation 4,000. Lithuanian Women's Progressive Alliance of America, 46 Ten Eyck Street, Brooklyn, N. Y. Helen Yeskevich."
Freiheit,daily,The Freiheit Publishing Association,http://www.oldnyc.org/#723616f-a,"30 Union Square, New York, New York",43.00975472,-78.19474653,Communist,"Freiheit (daily). Jewish. Established 1922, 6 pages, $9, circulation 50,000. The Freiheit Publishing Association 30 Union Square, New York, N. Y. Official organ, Workers' Party of America. Federated Press, Jewish Telegraph Agency."
Laisve,daily except Sunday,Lithuanian Cooperative Publishing Society,W. Rhodes,"46 Ten Eyck Street, Brooklyn, New York",40.7095597,-73.948996,Communist,"Laisve (daily except Sunday). Established 1911, 4-6 pages, $6, circulation 15,000. Lithuanian Cooperative Publishing So ciety, Inc., 46 Ten Eyck Street, Brooklyn, N. Y. W. Rhodes."
Lavoratore,weekly,Italian Federation Workers' Party of America,NONE,"108 East 14th Street, New York, New York",40.7342945,-73.98934,Communist,"Lavoratore, II (weekly). Saturdays. Established 1924, 4 pages, circulation 12,500. Italian Federation, Workers' Party of America, 108 East 14th Street, New York, N. Y. Federated Press. Uses mats."
New Yorker Volkszeitung,daily,Socialist Cooperative Publishing Association,Ludwig Lore in chief,"15 Spruce Street, New York, New York",41.00091329,-72.16260957,Communist,"New Yorker Volkszeitung (daily). German. Established 1877, 6-24 pages, $13, circulation 22,000. Socialist Cooperative Publishing Association, 15 Spruce Street, New York, N. Y. Ludwig Lore. in chief. Universal, Standard, Federated Press. Uses mats."
Novy Mir,daily,Novy Mir Publishing Company,A. Brailovsky,"30 Union Square, New York, New York",43.00975472,-78.19474653,Communist,"Novy Mir (daily). Established 1923, 4-6 pages, $7, circulation 14,000. Novy Mir Publishing Co., 30 Union Square, New York, N. Y. A. Brailovsky., J. Obolonsky, mgr. Official organ, Russian section, Workers' Party of America."
Obrana,weekly,Czechoslovak Section Workers' Party of America,Vaclav Abraham,"326 East 73rd Street, New York, New York",40.7687252,-73.9566133,Communist,"Obrana (weekly). Thursdays. Established 1910, 12 pages, $3, circulation 3,600. Czechoslovak Section, Workers' Party of America, 326 East 73rd Street, New York, N. Y. Vac lav Abraham."
Proletar,weekly,Proletarian Publishing Co.,NONE,"407 Fourth Avenue, New York, New York",42.7994953,-73.9497874,Communist,"Proletar (weekly). Armenian. Established 1924, 4 pages, $2, circulation 1,100. Proletarian Publishing Co., 407 Fourth Avenue, New York, N. Y."
Uj Elore,daily,S. Publishing Company,NONE,"33 First Street, New York, New York",42.8534505,-73.89673153,Communist,"Uj Elore (daily). Hungarian. Established 1905, 6 pages, circulation 15,000. S. B. S. Publishing Co., 33 First St., New York, N. Y. Louis Basky. Official organ, Workers' Party of America. International News Service, Universal Service."
Ukrainian Daily 'News,daily,Ukrainian Daily News Publishing Company,NONE,"17 East Third Street, New York, New York",42.8008132,-73.9625628,Communist,"Ukrainian Daily 'News (daily). Established 1920, 4-10 pages, $9, circulation 15,000. Ukrainian Daily News Publishing Co., 17 East Third Street, New York, N. Y. International News Service, International Press Correspondence. Com munist. Uses mats."
Uus Ilm,weekly,Esthonian Publication Society,Alexander Kovel,"1787 1st Avenue, New York, New York",40.824669,-73.8106039,Communist,"Uus Ilm (weekly). Esthonian. Established 1910, 6 pages, <$4, circulation 550. Esthonian Publication Society, 1787 1st Avenue, New York, N. Y. Alexander Kovel."
Vorwaerts,weekly,Socialist Cooperative Pub lishing Association,Ludwig Lore,"15 Spruce Street, New York, New York",41.00091329,-72.16260957,Communist,"Vorwaerts (weekly). German. Saturdays. Established 1877, 12 pages, $2, circulation 12,000. Socialist Cooperative Pub lishing Association, 15 Spruce Street, New York, N. Y. Ludwig Lore."
Arbetaren,weekly,Scandinavian Socialist Labor Federation,Thor Borg,"45 Rose Street, New York, New York",41.70064155,-73.91682255,Socialist Labor,"Arbetaren (weekly). Thursdays. Established 1894, 8 pages, $2.50. Scandinavian Socialist Labor Federation, 45 Rose Street, New York, N. Y. Thor Borg."
Munkas,weekly,Hungarian Socialist Labor Federation of the Socialist Labor Party,Theodore Vaszily,"419 East 83rd Street, New York, New York",40.77478655,-73.95024227,Socialist Labor,"Munkas, A (weekly). Saturdays. Established 1910, 4 pages, $2. Hungarian Socialist Labor Federation of the Socialist Labor Party, 419 East 83rd Street, New York, N. Y. Theodore Vaszily."
Robitnychyj Holos,monthly,Socialist Labor Party,Roman Zaremba,"45 Rose Street, New York, New York",41.70064155,-73.91682255,Socialist Labor,"Robitnychyj Holos (monthly). Established 1922, 20 pages, $1. Socialist Labor Party, 45 Rose Street, New York, N. Y. Roman Zaremba. Official organ, Ukrainian Propa ganda Group, Akron, Ohio."
Weekly People,weekly,Socialist Labor Party,Olive M. Johnson,"45 Rose Street, New York, New York",41.70064155,-73.91682255,Socialist Labor,"Weekly People (weekly). Saturdays. Established 1890, 6 pages, $2. Socialist Labor Party, 45 Rose Street, New York, N. Y. Olive M. Johnson."
American Child,monthly,National Child Labor Committee,"Owen R. Lovejoy, Frances B. Williams","214 Fouth Avenue, New York, New York",40.6530032,-74.0058626,Publications Concerned with Labor Questions,"American Child, The (monthly). Established 1912, 8 pages, $2, circulation 13,000. National Child Labor Committee, 214 Fouth Avenue, New York, N. Y. Owen R. Love- joy, Frances B. Williamss."
American Labor Legislation Review,quarterly,American Associ ation for Labor Legislation,"John B. Andrews, Frederick W. MacKenzie","131 East 23rd Street, New York, ,New York",40.893844,-73.0969039,Publications Concerned with Labor Questions,"American Labor Legislation Review, The (quarterly). Established 1911, 100 pages, $3, circulation 3,500. American Associ ation for Labor Legislation, 131 East 23rd Street, New York, ,N. Y. John B. Andrews, Frederick W. Mac- Kenzies. Scientific publication."
Arbitrator,monthly,Independent,"William Floyd, pub and ed.","114 East 31st Street, New York, New York",40.64797265,-73.94853801,Publications Concerned with Labor Questions,"Arbitrator, The (monthly). Established 1918, 4 pages, $.60, small circulation. William Floyd, pub. and ed., 114 East 31st Street, New York, N. Y. Radical digest of news."
Law and Labor,monthly,League for Industrial Rights,Murray T. Quigg,"165 Broadway, New York, New York",40.8894465,-73.8981876,Publications Concerned with Labor Questions,"Law and Labor (monthly). Established 1919, 32 pages, $5. League for Industrial Rights, 165 Broadway, New York, N. Y. Murray T. Quigg. Review of the law relating to industrial relations and to plans and contracts for industrial employment."
Nation,weekly,The Nation,"Oswald Garrison Villard, Lewis S. Gannett, Arthur Warner, Freda Kirchwey, Joseph Wood Krutch, Mark Van Doren","20 Vesey St., New York, New York",40.71206025,-74.0095231,Publications Concerned with Labor Questions,"Nation, The (weekly). Thursdays. Established 1865, 32 pages, $5, circulation 33,371. The Nation, Inc., 20 Vesey St., New York, N. Y. Oswald Garrison Villard., Lewis S. Gannett, Arthur Warner, Freda Kirchwey, Joseph Wood Krutch, Mark Van Doren, assoc. eds."
New Republic,weekly,The New Republic,"Herbert Croly, Alvin Johnson, Bruce Bliven,  Ayres, Robert Littell, George Soule, Robert Morss Lovett","421 West 21st Street, New York, New York",40.74555839,-74.00287684,Publications Concerned with Labor Questions,"New Republic, The (weekly). The New Republic, Inc., 421 West 21st Street, New York, N. Y. Herbert Croly, Alvin Johnson, Bruce Bliven, C. E. Ayres, Robert Littell, George Soule, Robert Morss Lovetts."
News-Bulletin,irregular,National Bureau of Economic Research,G. R. Stahl,"474 West 24th Street, New York, New York",40.74795,-74.00295574,Publications Concerned with Labor Questions,"News-Bulletin (irregular). Established 1922, 4 pages, circula tion 10,000. National Bureau of Economic Research, Inc., 474 West 24th Street, New York, N. Y. G. R. Stahl, exec. sect."
Political Science Quarterly,quarterly,Academy of Political Science,Parker Thomas Moon,"Kent Hall, Columbia University, New York, New York",40.80717915,-73.96252642,Publications Concerned with Labor Questions,"Political Science Quarterly (quarterly). Record of Political Events, annual supplement to March issue. Established 1886, 176 and more pages, $5, circulation 7,000. Acad emy of Political Science, Kent Hall, Columbia Univer sity, New York, N. Y. Parker Thomas Moon. man. ed."
Survey,fortnightly,Survey Associates,Paul Kellogg,"112 East 19th Street, New York, New York",40.73708205,-73.98718099,Publications Concerned with Labor Questions,"Survey, The (fortnightly). Established 1891 as Charities Review, Survey in 1912, $5. Survey Associates, Inc., 112 East 19th Street, New York, N. Y. Paul U. Kellogg."
World Tomorrow,monthly,The Fellowship Press,"Anna Rochester, Devere Allen","104 East Ninth Street, New York, New York",42.7993997,-73.9708089,Publications Concerned with Labor Questions,"World Tomorrow, The (monthly). Established 1918, 32 pages, $1, circulation 22,000. The Fellowship Press, Inc., 104 East Ninth Street, New York, N. Y. Anna Rochester, Devere Allens. Federated Press, International Federation of Trade Unions, Civil Liberties Bureau, Children's Bureau, Jewish Daily Bulletin, National As sociation for Advancement of Colored People, Federal Council of Churches News Bulletin. Radica1."
Christian Advocate,weekly,The Methodist Book Concern,James R. Joy,"150 Fifth Avenue, New York, New York",42.983491,-78.70935929,Religious,"Christian Advocate, The (weekly). Thursdays. Established 1826, 32 pages, $2.50, circulation 43,000. The Methodist Book Concern, 150 Fifth Avenue, New York, N. Y. James R. Joy. Official organ, The Methodist Epis copal Church."
Christian Work,weekly,,"Frederick Lynch, D.D. ed in chief","70 Fifth Avenue, New York, New York",42.98329493,-78.71033426,Religious,"Christian Work (weekly). Continues the Evangelist and New York Observer. Saturdays. Established 1886, 32 pages, $3.50. Frederick Lynch, D.D.. in chief, Henry Strong Huntington, assoc. ed., Fred Eastman, man. ed., 70 Fifth Avenue, New York, N. Y. ""Endorsed by leading religious liberals."""
Federal Council Bulletin,bimonthly,Federal Council of the Churches of Christ in America,"Samuel McCrea Cavert, Sanborn","105 East 22nd Street, New York, New York",40.7394372,-73.9863985,Religious,"Federal Council Bulletin (bimonthly). The Federal Council of the Churches of Christ in America, 105 East 22nd Street, New York, N. Y. Samuel McCrea Cavert, Aenid A. Sanborns."
Information Service,weekly,"Department of Research and Education, Federal Council of Churches",F. Ernest Johnson,"105 East 22nd Street, New York, New York",40.7394372,-73.9863985,Religious,"Information Service (weekly). (Except August). Saturdays. Established 1921, 4 pages, $2, circulation 6,500. Depart ment of Research and Education, Federal Council of Churches, 105 East 22nd Street, New York, N. Y. F. Ernest Johnson. Collection of information on industrial and social questions."
Methodist Review,bimonthly,Methodist Book Concern,George Elliott,"150 Fifth Avenue, New York, New York",42.983491,-78.70935929,Religious,"Methodist Review, The (bimonthly). Established 1818, 168 pages, $2.50, circulation 7,000. Methodist Book Con cern, 150 Fifth Avenue, New York, N. Y. George El liott. Official organ, Methodist Episcopal Church."
Social Service Bulletin,fortnightly,Methodist Federation for Social Ser vice,"Harry F. Ward, Winifred L. Chappell, Aaron Allen Heist","150 Fifth Avenue, New York, New York",42.983491,-78.70935929,Religious,"Social Service Bulletin (fortnightly). Established 1911, 4 pages, cir culation 2,000. Methodist Federation for Social Ser vice, 150 Fifth Avenue, New York, N. Y. Harry F. Ward, Winifred L. Chappell, Aaron Allen Heists."
Watchman-Examiner,weekly,The Watchman-Examiner Company,Curtis Lee Laws,"23 East 26th Street, New York, New York",40.7429902,-73.9868402,Religious,"Watchman-Examiner, The (weekly). Thursdays. Established 1819, 32 pages, $2.50, circulation 26,000. The Watch man-Examiner Co. Inc., 23 East 26th Street, New York, N. Y. Curtis Lee Laws. Baptist."
Industrial Hygiene Bulletin,monthly,"Bureau of Industrial Hygiene, New York State Department of Labor",Dr. Leland E. Cofer,"124 East 28th Street, New York, N. Y.",40.64617905,-73.95123977,Governmental,"Industrial Hygiene Bulletin (monthly). Established 1924, 4 pages, circulation 20,000. Bureau of Industrial Hygiene, New York State Department of Labor, 124 East 28th Street, New York, N. Y. Dr. Leland E. Cofer. Scientific and educational publication."
American Labor Monthly,monthly,J. B. S. Hardman,NONE,"31 Union Square, New York, N. Y.",43.0096214,-78.19489745,General Labor (U.S.),"American Labor Monthly, The (monthly). Established 1923, 64 pages, circulation 3,000. The American Labor Monthly Publishing Association, J. B. S. Hardman, 31 Union Square, New York, N. Y."
American Labor World,monthly,Independent,NONE,"10 Reade Street, New York, N. Y.",40.7139167,-74.0039843,General Labor (U.S.),"American Labor World (monthly). Established 1899, $1.50, cir culation 18,000. John S. Lewis, pub. and ed., 10 Reade Street, New York, N. Y."
