Title,Address,Editor-Notes,Category,ALPDEntry
"Equity Magazine, The (monthly)","The Actors' Equity Association of America, 45 West 47th Street, New York, New York","Grant Stewart, Alfred Harding",American Federation of Labor National and International Unions,"Equity Magazine, The (monthly). Established 1915, 44 pages, $1, circulation 12,000. The Actors' Equity Association of America, 45 West 47th Street, New York, N. Y. Grant Stewart., Alfred Harding, assoc. ed. Uses cuts."
Federal Employe (monthly),"National Federation of Federal Em ployes, 10 B Street, S.W., Washington, DC","Luther C. Steward, William Ullman",American Federation of Labor National and International Unions,"Federal Employe (monthly). Established 1916, 32 pages, $1, cir culation 35,000. National Federation of Federal Em ployes, 10 B Street, S.W., Washington, D. C. Luther C. Steward, William Ullmans."
Firemen and Oilers Journal (monthly),"International Brother hood of Firemen and Oilers, 3611 North 24th Street, Omaha, Nebr",C. L.  Shamp,American Federation of Labor National and International Unions,"Firemen and Oilers Journal (monthly). Established 1899, 20-36 pages, $1, circulation 25-40,000. International Brother hood of Firemen and Oilers, 3611 North 24th Street, Omaha, Nebr. C. L. Shamp."
"Fur Worker, The (fortnightly)","International Fur Workers' Union of United States and Canada, 9 Jackson Avenue, Long Island City, New York","Morris Kaufman, A. Rosebury",American Federation of Labor National and International Unions,"Fur Worker, The (fortnightly). Yiddish and English. Established 1916, 8-12 pages, $.50, circulation 12,000. International Fur Workers' Union of United States and Canada, 9 Jackson Avenue, Long Island City, N. Y. Morris Kaufman, A. Roseburys. Federated Press, Inter national Labor News. Labor and Socialist."
"Garment Worker, The (weekly)","United Garment Workers, 117 Bible House, Astor Place, New York, New York",NONE,American Federation of Labor National and International Unions,"Garment Worker, The (weekly). Established 1901, $1. United Garment Workers, 117 Bible House, Astor Place, New York, N. Y."
Gerechtigkeit (weekly),"International Ladies' Garment Workers' Union 3 West 16th Street, New York, New York","S. Yanofsky, Max D. Danish",American Federation of Labor National and International Unions,"Gerechtigkeit (weekly). Jewish. Fridays. Established 1918, 16 pages, $1.50, circulation 42,050. International Ladies' Garment Workers' Union 3 West 16th Street, New York, N. Y. S. Yanofsky, Max D. Danishs."
Giustizia (weekly),"International Ladies' Garment Workers' Union, 3 West 16th Street, New York, New York",R. Rende,American Federation of Labor National and International Unions,"Giustizia (weekly). Italian. Fridays. Established 1918, 12 pages, $1, circulation 17,700. International Ladies' Gar ment Workers' Union, 3 West 16th Street, New York, N. Y. R. Rende."
General Bulletin (weekly),"International Alliance of Theatrical Stage Employees, 110 West 40th Street, New York, New York",NONE,American Federation of Labor National and International Unions,"General Bulletin (weekly). International Alliance of Theatrical Stage Employees, 110 West 40th Street, New York, N. Y."
Granite Cutters Journal (monthly),"Granite Cutters International Association of America, 25 School Street, Quincy, Massachusetts Sam Squibb",NONE,American Federation of Labor National and International Unions,"Granite Cutters Journal (monthly). Established 1877, 32 pages, $1.20, circulation 10,000. Granite Cutters International Association of America, 25 School Street, Quincy, Mass. Sam Squibb."
"Headgear Worker, The (fortnightly)","Cloth Hat, Cap, and Millinery Workers' International Union, 621 Broadway, New York, New York",J.M. Budish,American Federation of Labor National and International Unions,"Headgear Worker, The (fortnightly). English and Yiddish. Fridays. Established 1916, 4-8 pages, $.50, circulation 15,000. Cloth Hat, Cap, and Millinery Workers' International Union, 621 Broadway, New York, N. Y. J. M. Budish. International Labor News, Federated Press."
"International Bookbinder, The (monthly)","International Brotherhood of Bookbinders, 9th Street and Massachusetts Avenue, Washington, DC",Felix J. Belair,American Federation of Labor National and International Unions,"International Bookbinder, The (monthly). Established 1898, 40 pages, $1, circulation 14,000. International Brotherhood of Bookbinders, 9th Street and Massachusetts Avenue, Washington, D. C. Felix J. Belair."
International Fire Fighter (monthly),"International Association of Fire Fighters, 105 American Federation of Labor Building, Washington, DC",Fred W. Baer,American Federation of Labor National and International Unions,"International Fire Fighter (monthly). Established 1918, 32-48 pages, $2, circulation 4,500. International Association of Fire Fighters, 105 American Federation of Labor Building, Washington, D. C. Fred W. Baer. In ternational Labor News, Luce's Press Clipping Bureau. Fire prevention and fire fighting included."
International Horseshoers' Monthly Magazine (monthly),"International Union of Journeymen Horseshoers, 605 Second National Bank Building, Cincinnati, Ohio",Hubert Marshall,American Federation of Labor National and International Unions,"International Horseshoers' Monthly Magazine (monthly). Es tablished 1899, $.50, circulation 2,200. International Union of Journeymen Horseshoers, 605 Second National Bank Building, Cincinnati, Ohio. Hubert Marshall."
International Molders' Journal (monthly),"International Molders' Union of North America, 530 Walnut Street, Cincinnati, Ohio",John P. Frey,American Federation of Labor National and International Unions,"International Molders' Journal (monthly). Established 1864, 68- 112 pages, $.50, circulation 30-35,000. International Molders' Union of North America, 530 Walnut Street, Cincinnati, Ohio. John P. Frey. International Labor News."
International Musician (monthly),"American Federation of Mu sicians, 239-241 Halsey Street, Newark, New Jersey",William J. Kerngood,American Federation of Labor National and International Unions,"International Musician (monthly). Established 1903, 24-32 pages, $.20, circulation 125,000. American Federation of Mu sicians, 239-241 Halsey Street, Newark, N. J. William J. Kerngood ed. American Federation of Labor Weekly News."
International Steam Engineer (monthly),"International Union of Steam and Operating Engineers, 6334-36 Yale Avenue, Chicago, Illinois",Dave Evans,American Federation of Labor National and International Unions,"International Steam Engineer (monthly). Established 1889, 80 pages, $1, circulation 41,348. International Union of Steam and Operating Engineers, 6334-36 Yale Avenue, Chicago, Ill. Dave Evans. Circulates among chief and operating engineers in power plants exclusively."
International Stereotypers' and Electrotypers' Union Journal (monthly),"International Stereotypers' and Electrotpers' Union of North America, 446 South Ogden Street, Denver, Colorado",William Eben McCormick,American Federation of Labor National and International Unions,"International Stereotypers' and Electrotypers' Union Journal (monthly). Established 1906, 56 and more pages, $.60, circulation 6,500. International Stereotypers' and Electrotpers' Union of North America, 446 South Ogden Street, Denver, Colo. William Eben McCormick. Uses mats."
"International Woodcarver, The (monthly)","International Woodcarvers' Association of North America, 8605  85th Street, Jamaica, New York",Frank Detlef,American Federation of Labor National and International Unions,"International Woodcarver, The (monthly). Established 1899, 4 pages, circulation 1,500. International Woodcarvers' Association of North America, 8605 ��_��__��_��__��_��__ 85th Street, Jamaica, New York. Frank Detlef."
Jewelry Workers' Monthly Bulletin (monthly),"International Jewelry Workers' Union, Room 714, 1674 Broadway, New York, New York",NONE,American Federation of Labor National and International Unions,"Jewelry Workers' Monthly Bulletin (monthly). International Jewelry Workers' Union, Room 714, 1674 Broadway, New York, N. Y."
"Journal of Electrical Workers and Operators, The (monthly)","International Brotherhood of Electrical Workers, Ma chinists Building, Waashington, D M",G.M. Bugniazet,American Federation of Labor National and International Unions,"Journal of Electrical Workers and Operators, The (monthly). Established 1891, 64 pages, $.50, circulation 62,000. In ternational Brotherhood of Electrical Workers, Ma chinists Building, Waashington, D. C. G. M. Bugnia- zet. Uses mats."
"Journal of the Switchmen's Union of North America, The (monthly)","Switchmen's Union of North America, 39 West North Stret, Buffalo, New York  Thompson",NONE,American Federation of Labor National and International Unions,"Journal of the Switchmen's Union of North America, The (monthly). Established 1898, 32-56 pages, $1.25, circulation 10,000. Switchmen's Union of North America, 39 West North Stret, Buffalo, N. Y. W. H. Thompson."
"Journeyman Barber, The (monthly)","Journeymen Barbers' International Union, 222 East Michigan Street, Indianapolis, Indiana",Jacob Fischer,American Federation of Labor National and International Unions,"Journeyman Barber, The (monthly). Established 1905, $.60. Journeymen Barbers' International Union, 222 East Michigan Street, Indianapolis, Ind. Jacob Fischer."
Justice (weekly),"International Ladies' Garment Workers' Union, 3 West 16th Street, New York, New York","S. Yanofsky, Max D. Danish",American Federation of Labor National and International Unions,"Justice (weekly). Fridays. Established 1918, 12 pages, $1.50, circulation 29,300. International Ladies' Garment Workers' Union, 3 West 16th Street, New York, N. Y. S. Yanofsky, Max D. Danishs."
"Lather, The (monthly)","Wood, Wire and Metal Lathers' Interna tional Union, Lathers' Building, West 26th & Detroit, Cleveland, Ohio",A.D.  Yoder,American Federation of Labor National and International Unions,"Lather, The (monthly). Established 1900, 36 pages, $.60, circula tion 15,000. Wood, Wire and Metal Lathers' Interna tional Union, Lathers' Building, West 26th & Detroit, Cleveland, Ohio. A. D. Yoder."
Leather Workers' Journal (monthly),"United Leather Workers' International Union, 610 Walsix Building, Kansas City, Missouri","John J. Pfeiffer, W. E. Bryan",American Federation of Labor National and International Unions,"Leather Workers' Journal (monthly). Established 1898, 32 pages, $1, circulation 2,000. United Leather Workers' Inter national Union, 610 Walsix Building, Kansas City, Mo. John J. Pfeiffer, W. E. Bryans. American Federa tion of Labor Weekly News."
Life and Labor Bulletin (monthly),"National Women's Trade Union League of America, 311 South Ashland Boulevard, Chicago, Illinois",Elisabeth Christman,American Federation of Labor National and International Unions,"Life and Labor Bulletin (monthly). Established 1922, 4 pages, $1, circulation 2,500. National Women's Trade Union League of America, 311 South Ashland Boulevard, Chicago, Ill. Elisabeth Christman."
Lithographers' Journal (monthly),"Amalgamated Lithographers of America, 205 West 14th Street, New York, New York",C. Halbmeier,American Federation of Labor National and International Unions,"Lithographers' Journal (monthly). Established 1915, 44 pages, $1.50, circulation 6,600. Amalgamated Lithographers of America, 205 West 14th Street, New York, N. Y. C. Halbmeier. Labor Bureau, Inc."
"Longshoreman, The (monthly)","International Longshoremen's Association, 702 Brisbane Building, Buffalo, New York",NONE,American Federation of Labor National and International Unions,"Longshoreman, The (monthly). International Longshoremen's Association, 702 Brisbane Building, Buffalo, N. Y."
Machinists Monthly Journal (monthly),"International Association of Machinists, 204 Machinists Building, Washington,",Fred Hewitt,American Federation of Labor National and International Unions,"Machinists Monthly Journal (monthly). Established 1889, 48 pages, $1, circulation 85,000. International Association of Machinists, 204 Machinists Building, Washington, D. C. Fred Hewitt. International Labor News."
"Miners' Magazine, The (monthly)","International Union of Mine, Mill, and Smelter Workers, 500 Mercantile Building, Denver, Colorado",Charles H. Moyer,American Federation of Labor National and International Unions,"Miners' Magazine, The (monthly). Established 1900, $.50. In ternational Union of Mine, Mill, and Smelter Workers, 500 Mercantile Building, Denver, Colo. Charles H. Moyer."
"Mixer and Server, The (monthly)","Hotel & Restaurant Em ployees' International Alliance and Bartenders' International League of America, 528-30 Walnut Street, Cincinnati, Ohio",Jere 'L Sullivan,American Federation of Labor National and International Unions,"Mixer and Server, The (monthly). Established 1891, 64 pages, $1.50, circulation 55,000. Hotel & Restaurant Em ployees' International Alliance and Bartenders' Inter national League of America, 528-30 Walnut Street, Cincinnati, Ohio. Jere 'L. Sullivan. International Labor News, American Federation of Labor Weekly News."
"Motorman and Conductor, The (monthly)","Amalgamated Asso ciation of Street and Electric Railway Employees, 260 East High Street, Detroit, Michigan",R. L.  Reeves,American Federation of Labor National and International Unions,"Motorman and Conductor, The (monthly). Established 1895, 40 pages, $.75, circulation 112,000. Amalgamated Asso ciation of Street and Electric Railway Employees, 260 East High Street, Detroit, Mich. R. L. Reeves."
"Official Journal, International Association of Heat and Frost Insulators and Asbestos Workers, (quarterly)","803 United Home Building, St. Louis, Missouri.",NONE,American Federation of Labor National and International Unions,"Official Journal (quarterly). International Association of Heat and Frost Insulators and Asbestos Workers, 803 United Home Building, St. Louis, Mo."
Official Magazine (monthly),"International Brotherhood of Team sters, Chauffeurs, Stablemen, and Helpers, 222 East Michigan Street, Indianapolis, Indiana",Daniel J. Tobin,American Federation of Labor National and International Unions,"Official Magazine (monthly). Established 1902, 16 pages, $2, circulation 50,000. International Brotherhood of Team sters, Chauffeurs, Stablemen, and Helpers, 222 East Michigan Street, Indianapolis, Ind. Daniel J. Tobin."
"Painter and Decorator, The (monthly)","Brotherhood of Painters, Deco rators, and Paperhangers, Lafayette, Indiana",Charles J. Lammert,American Federation of Labor National and International Unions,"Painter and Decorator, The (monthly). Established 1887, $1, circulation 100,000. Brotherhood of Painters, Deco rators, and Paperhangers, Lafayette, Ind. Charles J. Lammert."
Paper Makers Journal (monthly),"International Brotherhood of Paper Makers, 25 South Hawk Street, Albany, New York Matthew J",Matthew J.  Burns,American Federation of Labor National and International Unions,"Paper Makers Journal (monthly). Established 1902, 16 and more pages, $1, circulation 7,500. International Brotherhood of Paper Makers, 25 South Hawk Street, Albany, N. Y. Matthew J. Burns."
Pattern Makers Journal (monthly),"Pattern Makers' League of iNorth America, 2nd National Bank Building, Cincinnati, Ohio",James Wilson,American Federation of Labor National and International Unions,"Pattern Makers Journal (monthly). Established 1889, 16-32 pages, $.50, 12-15,000 circulation. Pattern Makers' League of iNorth America, 2nd National Bank Building, Cincinnati, Ohio. James Wilson. American Federation of Labor Weekly News."
Paving Cutters' Journal (monthly),"Paving Cutters' Union of the United States and Canada, Rockport, Massachusetts Carl Bergstrom",NONE,American Federation of Labor National and International Unions,"Paving Cutters' Journal (monthly). Established 1901, 4 pages, circulation 2,700. Paving Cutters' Union of the United States and Canada, Rockport, Mass. Carl Bergstrom."
"Plasterer, The (monthly)","401 Castell Building, Middletown, Ohio.",NONE,American Federation of Labor National and International Unions,"Plasterer, The (monthly). Operative Plasterers' International Association, 401 Castell Building, Middletown, Ohio."
"Plate Printer, The (fortnightly)",NONE,NONE,American Federation of Labor National and International Unions,"Plate Printer, The (fortnightly). Plate Printers' and Die Stampers' Union, 1630 West Louden Street, Philadelphia, Pa."
"'Plumbers, Gas and Steam Fitters' Journal (monthly)","United Association of Plumbers and Steam Fitters, 1138 North Dearborn Street, Chicago, IL",NONE,American Federation of Labor National and International Unions,"'Plumbers, Gas and Steam Fitters' Journal (monthly). Established 1885, $1. United Association of Plumbers and Steam Fitters, 1138 North Dearborn Street, Chicago, 111."
Postal Record (monthly),"National Association of Letter Carriers, American Federation o_f Labor Building, Washington, DC","Edward J.  Gainor, M.T. Finnan",American Federation of Labor National and International Unions,"Postal Record (monthly). Established 1888, 24 and more pages, $2, circulation 46,000. National Association of Letter Carriers, American Federation o_f Labor Building, Washington, D. C. Edward J. Gainor, M. T. Finnans."
"Potters' Herald, The (weekly)","National Brotherhood of Operative Potters, West Sixth Street, East Liverpool, Ohio",Will T. Blake,American Federation of Labor National and International Unions,"Potters' Herald, The (weekly). Thursdays. Established 1892, 6 pages, $2, circulation 7,500. National Brotherhood of Operative Potters, West Sixth Street, East Liverpool, Ohio. Will T. Blake. American Federation of Labor Weekly News. Uses mats."
Quarry Workers' Journal (monthly),"Quarry Workers' International Union of North America, Scampini Building, Barre, Vt",Fred W. Suitor,American Federation of Labor National and International Unions,"Quarry Workers' Journal (monthly). Established 1904, 8 pages, $.75, circulation 5,000. Quarry Workers' International Union of North America, Scampini Building, Barre, Vt. Fred W. Suitor."
"Railroad Telegrapher, The (monthly)","The Order of Railroad Telegraphers, 3673 W Pine Boulevard, St Louis, Missouri",E.J.  Manion,American Federation of Labor National and International Unions,"Railroad Telegrapher, The (monthly). Established 1886, 136 pages, $1, circulation 70,000. The Order of Railroad Telegraphers, 3673 W. Pine Boulevard, St. Louis, Mo. E. J. Manion."
Railway Carmen's Journal (monthly),"Brotherhood of Railway Carmen, 512 Hall Building, Kansas City, Missouri",W.J.  Adames,American Federation of Labor National and International Unions,"Railway Carmen's Journal (monthly). Established 1895, $1.50. Brotherhood of Railway Carmen, 512 Hall Building, Kansas City, Mo. W. J. Adames."
"Railway Clerk, The (monthly)","Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of Railway Clerks Building, 1015 Vine Street, Cincinnati, Ohio",Phil E.  Ziegler,American Federation of Labor National and International Unions,"Railway Clerk, The (monthly). Established 1900, 32-64 pages, $1, circulation 104,875. Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of Railway Clerks Building, 1015 Vine Street, Cincinnati, Ohio. Phil E. Ziegler. International Labor News, Federated Press."
Railway Maintenance of Way Employees' Journal (monthly),"United Brotherhood of Maintenance of Way Em ployees, 61 Putnam Avenue, Detroit, Michigan",F. Finnson,American Federation of Labor National and International Unions,"Railway Maintenance of Way Employees' Journal (monthly). Established 1891, 64 pages, $1, circulation 100,000. United Brotherhood of Maintenance of Way Em ployees, 61 Putnam Avenue, Detroit, Mich. F. Finn- son."
Retail Clerks' International Advocate (monthly),"Retail Clerks' International Protective As sociation, Lock Drawer 248, Lafayette, Indiana",H. J. Conway,American Federation of Labor National and International Unions,"Retail Clerks' International Advocate (monthly). Established 1892, $.60. Retail Clerks' International Protective As sociation, Lock Drawer 248, Lafayette, Ind. H. J. Conway."
"Railway Post Office, The (monthly)","Railway Mail Association (Ra'ilway Mail Clerks), 508 American Federation of Labor Build ing, Washington, DC",Henry W Strickland,American Federation of Labor National and International Unions,"Railway Post Office, The (monthly). Established 1898, 48 pages, $1, circulation 20,500. Railway Mail Association (Ra'ilway Mail Clerks), 508 American Federation of Labor Build ing, Washington, D. C. Henry W. Strickland. Uses mats."
"Seamen's Journal, The (monthly)","International Seamen's Union of America, 525 Market Street, San Francisco, California",Paul Scharrenberg,American Federation of Labor National and International Unions,"Seamen's Journal, The (monthly). Established 1887, 32 pages, $1.50. International Seamen's Union of America, 525 Market Street, San Francisco, Calif. Paul Scharren- berg. International Labor News, American Federa tion of Labor Weekly News. Uses mats."
Sheet Metal Workers' Journal (monthly),"Sheet Metal Workers' International Association, 642 Transportation Building, Washington, DC",William L. Sullivan,American Federation of Labor National and International Unions,"Sheet Metal Workers' Journal (monthly). Established 1895, $1. Sheet Metal Workers' International Association, 642 Transportation Building, Washington, D. C. William L. Sullivan."
"Shoe Workers' Journal, The (monthly)","Boot and Shoe Workers' Union, 246 Summer Street, Boston, Massachusetts",CL  Baine,American Federation of Labor National and International Unions,"Shoe Workers' Journal, The (monthly). Established 1900, 40 pages, circulation 50,000. Boot and Shoe Workers' Union, 246 Summer Street, Boston, Mass. C. ,L. Baine."
Signalmen's Journal (monthly),"Brotherhood of Railway Signal men of America, 4750 North Kimball Avenue, Chicago, Illinois",T. A.  Austin,American Federation of Labor National and International Unions,"Signalmen's Journal (monthly). Established 1920, 32-64 pages, $1, circulation 10,000. Brotherhood of Railway Signal men of America, 4750 North Kimball Avenue, Chicago, Ill. T. A. Austin. Labor Bureau, Committee of 48, Fair Tariff League."
"Sleeping Car Conductor, The (monthly)","Order of Sleeping Car Conductors, 360-1 Union Station, Kansas City, Missouri",M.S. Warfield,American Federation of Labor National and International Unions,"Sleeping Car Conductor, The (monthly). Established 1918, 50 pages, $1, circulation 3,000. Order of Sleeping Car Conductors, 360-1 Union Station, Kansas City, Mo. M. S. Warfield. Uses mats."
"Stone Cutters Journal, The (monthly)","Journeymen Stone Cut ters' Association of North America,  Box 767, Indianapolis, Indiana",Joseph Blasey,American Federation of Labor National and International Unions,"Stone Cutters Journal, The (monthly). Established 1853, 16-24 pages, $1, circulation 6,000. Journeymen Stone Cut ters' Association of .North America, P. O. Box 767, Indianapolis, Ind. Joseph Blasey."
Stove Mounters' & Range Workers' Journal (monthly),"Stove Mounters' International Union, 6466 East Jefferson Avenue, Detroit, Michigan",Frank Grimshaw,American Federation of Labor National and International Unions,"Stove Mounters' & Range Workers' Journal (monthly). -Estab lished 1895, 24 pages, $.60, circulation 3,000. Stove Mounters' International Union, 6466 East Jefferson Avenue, Detroit, Mich. Frank Grimshaw."
"Tailor, The (fortnightly)","Journeymen Tailors' Union of Am erica, 6753 Stony Island Avenue, Chicago, Illinois",Thomas Sweeney,American Federation of Labor National and International Unions,"Tailor, The (fortnightly). Tuesdays. Established 1887, 4 pages, circulation 9,500. Journeymen Tailors' Union of Am erica, 6753 Stony Island Avenue, Chicago, Ill. Thomas Sweeney. International Labor News. Uses mats some times."
